# Ludwieg and Tillman Strong Adverse Pressure Gradient
IDENT = 1200
V = 0.150000

# Summary data
# X     UI      DUI   THETA    H      HS      G       CF     CFLT      CFE     BETA
 168.3  17.46   0.500  0.3930  0.0030  26.96
 336.6  19.15   1.000  0.4310  0.0060  25.27
 505.0  20.34   1.500  0.4580  0.0091  24.08
 673.3  21.45   2.000  0.4830  0.0121  22.97
 841.6  22.48   2.500  0.5060  0.0151  21.94
1009.9  23.63   3.000  0.5320  0.0181  20.79
1346.5  25.99   4.000  0.5850  0.0242  18.43
1683.2  28.43   5.000  0.6400  0.0302  15.99
2019.8  31.01   6.000  0.6980  0.0363  13.41
2356.4  33.40   7.000  0.7520  0.0423  11.02
2693.1  35.89   8.000  0.8080  0.0484   8.53
3029.7  38.42   9.000  0.8650  0.0544   6.00
3366.4  40.33  10.000  0.9080  0.0604   4.09
3703.0  42.38  11.000  0.9540  0.0665   2.04
4039.6  43.40  12.000  0.9770  0.0725   1.02
4376.3  43.95  13.000  0.9895  0.0786   0.47
4712.9  44.24  14.000  0.9960  0.0846   0.18
5049.5  44.35  15.000  0.9985  0.0907   0.07
5386.2  44.42  16.000  1.0000  0.0967   0.0

# Station 9 data
# Y+     U+      Y     U/UI    Y/CD    UDEF
   0.0   0.0    0.0    0.0     0.0     47.63
  15.5  10.67   0.050  0.2240  0.0002  36.96
  30.9  13.48   0.100  0.2830  0.0005  34.15
  61.9  15.67   0.200  0.3290  0.0009  31.96
 154.7  17.19   0.500  0.3610  0.0023  30.44
 309.3  18.58   1.000  0.3900  0.0047  29.05
 464.0  20.05   1.500  0.4210  0.0070  27.58
 618.7  20.96   2.000  0.4400  0.0094  26.67
 773.3  21.81   2.500  0.4580  0.0117  25.82
 928.0  22.96   3.000  0.4820  0.0140  24.67
1237.3  25.10   4.000  0.5270  0.0187  22.53
1546.6  27.48   5.000  0.5770  0.0234  20.15
1856.0  30.05   6.000  0.6310  0.0281  17.58
2165.3  32.63   7.000  0.6850  0.0327  15.00
2474.6  35.10   8.000  0.7370  0.0374  12.53
2784.0  37.63   9.000  0.7900  0.0421  10.00
3093.3  40.06  10.000  0.8410  0.0468   7.57
3402.6  42.37  11.000  0.8895  0.0514   5.26
3711.9  44.44  12.000  0.9330  0.0561   3.19
4021.3  45.68  13.000  0.9590  0.0608   1.95
4330.6  46.77  14.000  0.9820  0.0655   0.86
4639.9  47.37  15.000  0.9945  0.0701   0.26
4949.3  47.49  16.000  0.9970  0.0748   0.14
5258.6  47.63  17.000  1.0000  0.0795   0.0

# Station 10 data
# Y+     U+      Y     U/UI    Y/CD    UDEF
   0.0   0.0    0.0    0.0     0.0     57.93
  12.7   7.47   0.050  0.1290  0.0001  50.46
  25.5  10.60   0.100  0.1830  0.0003  47.33
  50.9  12.63   0.200  0.2180  0.0005  45.30
 127.3  15.93   0.500  0.2750  0.0013  42.00
 254.7  18.42   1.000  0.3180  0.0026  39.51
 382.0  19.41   1.500  0.3350  0.0039  38.52
 509.4  20.10   2.000  0.3470  0.0052  37.83
